year,round,pick_overall,round_pick,person_id,person_name,team,signed,bonus,pick_value,school
2019,3,79,1,668789,Zach Watson,Baltimore Orioles,True,780400,780400,LSU
2019,3,80,2,669183,Grant Gambrell,Kansas City Royals,True,647500,767800,Oregon State
2019,3,81,3,686643,Andrew Dalquist,Chicago White Sox,True,2000000,755300,Redondo Union HS
2019,3,82,4,680814,Peyton Burdick,Miami Marlins,True,397500,744200,Wright State University
2019,3,83,5,686531,Andre Lipcius,Detroit Tigers,True,733100,733100,Tennessee
2019,3,84,6,687431,Hudson Head,San Diego Padres,True,3000000,721900,Winston Churchill HS
2019,3,85,7,682997,Tyler Callihan,Cincinnati Reds,True,1497500,710700,Providence School of Jacksonville
2019,3,86,8,686580,Justin Slaten,Texas Rangers,True,575000,699700,New Mexico
2019,3,87,9,687529,Grant McCray,San Francisco Giants,True,697500,689300,Lakewood Ranch HS
2019,3,88,10,672018,Dasan Brown,Toronto Blue Jays,True,800000,678600,Abbey Park HS
2019,3,89,11,682929,Matt Allan,New York Mets,True,2500000,667900,Seminole HS
2019,3,90,12,668715,Spencer Steer,Minnesota Twins,True,575000,657600,Oregon
2019,3,91,13,687072,Jamari Baylor,Philadelphia Phillies,True,675000,647300,Benedictine School
2019,3,92,14,686799,Jack Kochanowicz,Los Angeles Angels,True,1247500,637600,Harriton HS
2019,3,93,15,663536,Tristin English,Arizona Diamondbacks,True,500000,627900,Georgia Tech
2019,3,94,16,666141,Drew Mendoza,Washington Nationals,True,800000,618200,Florida State
2019,3,95,17,670208,Matt Fraizer,Pittsburgh Pirates,True,525000,610800,Arizona
2019,3,96,18,666138,Tony Locey,St. Louis Cardinals,True,604800,604800,Georgia
2019,3,97,19,686651,Levi Stoudt,Seattle Mariners,True,339000,599100,Lehigh
2019,3,98,20,671739,Michael Harris II,Atlanta Braves,True,547500,593100,Stockbridge HS
2019,3,99,21,687071,Shane Sasaki,Tampa Bay Rays,True,472500,587400,Iolani HS
2019,3,100,22,686608,Jacob Wallace,Colorado Rockies,True,581600,581600,Connecticut
2019,3,101,23,683172,Joe Naranjo,Cleveland Guardians,True,770000,577000,Rueben S. Ayala HS
2019,3,102,24,686752,Ryan Pepiot,Los Angeles Dodgers,True,547500,571400,Butler
2019,3,103,25,686449,Michael McAvene,Chicago Cubs,True,500000,565600,Louisville
2019,3,104,26,687526,Marcus Smith,Athletics,True,400000,560000,Pembroke Hill HS
2019,3,105,27,666331,Jake Sanford,New York Yankees,True,597500,554300,Western Kentucky
2019,3,106,28,685084,Jordan Brewer,Houston Astros,True,500000,549000,Michigan
2019,3,107,29,666171,Ryan Zeferjahn,Boston Red Sox,True,500000,543500,Kansas
2019,4,108,1,687401,Joey Ortiz,Baltimore Orioles,True,450000,538200,New Mexico State
2019,4,109,2,686681,Michael Massey,Kansas City Royals,True,472500,533000,University of Illinois
2019,4,110,3,686808,James Beard,Chicago White Sox,True,350000,527800,Loyd Star HS
2019,4,111,4,657212,Evan Edwards,Miami Marlins,True,122500,522600,North Carolina State
2019,4,112,5,668952,Ryan Kreidler,Detroit Tigers,True,517400,517400,UCLA
2019,4,113,6,666374,Matt Brash,San Diego Padres,True,512400,512400,Niagara
2019,4,114,7,671155,Ivan Johnson,Cincinnati Reds,True,397500,507400,Chipola College
2019,4,115,8,683227,Cody Freeman,Texas Rangers,True,900000,502300,Etiwanda HS
2019,4,116,9,666149,Tyler Fitzgerald,San Francisco Giants,True,495000,497500,Louisville
2019,4,117,10,683770,Will Robertson,Toronto Blue Jays,True,422500,492700,Creighton
2019,4,118,11,663968,Jake Mangum,New York Mets,True,20000,487900,Mississippi State
2019,4,119,12,680799,Seth Gray,Minnesota Twins,True,483000,483000,Wright State University
2019,4,120,13,669062,Erik Miller,Philadelphia Phillies,True,428300,478300,Stanford
2019,4,121,14,682992,Erik Rivera,Los Angeles Angels,True,597500,473700,Puerto Rico Baseball Academy
2019,4,122,15,677338,GJ Hill,Arizona Diamondbacks,True,850000,469000,Santa Cruz HS
2019,4,123,16,669091,Matt Cronin,Washington Nationals,True,464500,464500,Arkansas
2019,4,124,17,669001,J.C. Flowers,Pittsburgh Pirates,True,497500,460000,Florida State
2019,4,125,18,669467,Andre Pallante,St. Louis Cardinals,True,455600,455600,University of California - Irvine
2019,4,126,19,669651,Tim Elliott,Seattle Mariners,True,400000,451800,Georgia
2019,4,127,20,685008,Kasey Kalich,Atlanta Braves,True,347500,447400,Texas A&M
2019,4,128,21,666209,Graeme Stinson,Tampa Bay Rays,True,440400,442900,Duke
2019,4,129,22,686668,Brenton Doyle,Colorado Rockies,True,500000,438700,Shepherd University
2019,4,130,23,686551,Christian Cairo,Cleveland Guardians,True,955000,434300,Calvary Christian HS
2019,4,131,24,686781,Brandon Lewis,Los Angeles Dodgers,True,372500,430800,University of California - Irvine
2019,4,132,25,669247,Chris Clarke,Chicago Cubs,True,426600,426600,USC
2019,4,133,26,685277,Nick Kahle,Milwaukee Brewers,True,325000,422300,Washington
2019,4,134,27,668832,Kyle McCann,Athletics,True,500000,418200,Georgia Tech
2019,4,135,28,686481,Jake Agnos,New York Yankees,True,411500,414000,East Carolina
2019,4,136,29,683145,Colin Barber,Houston Astros,True,1000000,410100,Pleasant Valley HS
2019,4,137,30,679977,Noah Song,Boston Red Sox,True,100000,406000,Navy
2019,5,138,1,687231,Darell Hernaiz,Baltimore Orioles,True,400000,402000,Americas HS
2019,5,139,2,670231,John Rave,Kansas City Royals,True,297500,398000,Illinois State
2019,5,140,3,666910,Dan Metzdorf,Chicago White Sox,True,10000,394300,Boston College
2019,5,141,4,683157,Evan Fitterer,Miami Marlins,True,1500000,390400,Aliso Niguel HS
2019,5,142,5,669741,Bryant Packard,Detroit Tigers,True,386600,386600,East Carolina
2019,5,143,6,669380,Chris Lincoln,San Diego Padres,True,325000,382700,UC Santa Barbara
2019,5,144,7,667478,Evan Kravetz,Cincinnati Reds,True,112500,379000,Rice
2019,5,145,8,687005,Kellen Strahm,Texas Rangers,True,205000,375200,San Jose State
2019,5,146,9,683102,Garrett Frechette,San Francisco Giants,True,797500,371600,Orange Lutheran HS
2019,5,147,10,671088,Tanner Morris,Toronto Blue Jays,True,397500,367900,Virginia
2019,5,148,11,687797,Nate Jones,New York Mets,True,10000,364400,Northwestern State
2019,5,149,12,683735,Will Holland,Minnesota Twins,True,575000,360800,Auburn
2019,5,150,13,686763,Gunner Mayer,Philadelphia Phillies,True,600000,357100,San Joaquin Delta College
2019,5,151,14,668831,Garrett Stallings,Los Angeles Angels,True,312500,353700,Tennessee
2019,5,152,15,682202,Conor Grammes,Arizona Diamondbacks,True,300000,350300,Xavier
2019,5,153,16,669937,Tyler Dyson,Washington Nationals,True,500000,346800,Florida
2019,5,154,17,687352,Grant Ford,Pittsburgh Pirates,True,422500,343400,Nevada
2019,5,155,18,671162,Connor Thomas,St. Louis Cardinals,True,340000,340000,Georgia Tech
2019,5,156,19,668853,Austin Shenton,Seattle Mariners,True,336600,336600,Florida International
2019,5,157,20,688500,Stephen Paolini,Atlanta Braves,True,597500,333300,St Josephs School
2019,5,158,21,669229,Ben Brecht,Tampa Bay Rays,True,297500,330100,UC Santa Barbara
2019,5,159,22,669100,Will Ethridge,Colorado Rockies,True,327200,327200,Ole Miss
2019,5,160,23,683769,Hunter Gaddis,Cleveland Guardians,True,415000,324100,Georgia State
2019,5,161,24,669193,Jack Little,Los Angeles Dodgers,True,318600,321100,Stanford
2019,5,162,25,647183,Josh Burgmann,Chicago Cubs,True,225000,318200,Washington
2019,5,163,26,666186,Thomas Dillard,Milwaukee Brewers,True,397500,315400,Ole Miss
2019,5,164,27,687332,Jalen Greer,Athletics,True,300000,312400,St. Rita HS
2019,5,165,28,686610,Ken Waldichuk,New York Yankees,True,307000,309500,St. Marys
2019,5,166,29,686613,Hunter Brown,Houston Astros,True,325000,306800,Wayne State
2019,5,167,30,686755,Jaxx Groshans,Boston Red Sox,True,304200,304200,Kansas
2019,6,168,1,668974,Maverick Handley,Baltimore Orioles,True,250000,301600,Stanford
2019,6,169,2,668857,Dante Biasi,Kansas City Royals,True,247500,299000,Penn State
2019,6,170,3,686830,Avery Weems,Chicago White Sox,True,10000,296400,Arizona
2019,6,171,4,668724,M.D. Johnson,Miami Marlins,True,17500,293800,Dallas Baptist
2019,6,172,5,666194,Cooper Johnson,Detroit Tigers,True,291400,291400,Ole Miss
2019,6,173,6,666148,Drake Fellows,San Diego Padres,True,260000,289000,Vanderbilt
2019,6,174,7,668933,Graham Ashcraft,Cincinnati Reds,True,247500,286500,Alabama - Birmingham
2019,6,175,8,674003,Cody Bradford,Texas Rangers,True,700000,284200,Baylor
2019,6,176,9,687125,Dilan Rosario,San Francisco Giants,True,650000,281800,Colegio Marista HS
2019,6,177,10,686490,Cam Eden,Toronto Blue Jays,True,222500,279500,California
2019,6,178,11,687055,Zach Ashford,New York Mets,True,10000,277100,Fresno State
2019,6,179,12,687830,Sawyer Gipson-Long,Minnesota Twins,True,215000,274800,Mercer
2019,6,180,13,669697,Andrew Schultz,Philadelphia Phillies,True,225000,272500,Tennessee
2019,6,181,14,686745,Zach Peek,Los Angeles Angels,True,267800,270300,Winthrop
2019,6,182,15,685314,Andrew Saalfrank,Arizona Diamondbacks,True,225000,268200,Indiana
2019,6,183,16,687714,Jackson Cluff,Washington Nationals,True,200000,266000,BYU
2019,6,184,17,686843,Will Matthiessen,Pittsburgh Pirates,True,261200,263700,Stanford
2019,6,185,18,686780,Pedro Pagés,St. Louis Cardinals,True,250000,261600,Florida Atlantic
2019,6,186,19,686802,Michael Limoncelli,Seattle Mariners,True,500000,259400,Horseheads HS
2019,6,187,20,685299,Tanner Gordon,Atlanta Braves,True,212500,257400,Indiana
2019,6,188,21,686831,Colby White,Tampa Bay Rays,True,197500,255300,Mississippi State
2019,6,189,22,668970,Gavin Hollowell,Colorado Rockies,True,225000,253300,St. John's
2019,6,190,23,687086,Jordan Brown,Cleveland Guardians,True,230000,251100,Junipero Serra HS
2019,6,191,24,684604,Aaron Ochsenbein,Los Angeles Dodgers,True,72500,249000,Eastern Kentucky
2019,6,192,25,683001,Ethan Hearn,Chicago Cubs,True,950000,247000,Mobile Christian School
2019,6,193,26,668711,Nick Bennett,Milwaukee Brewers,True,244900,244900,Louisville
2019,6,194,27,670234,Seth Shuman,Athletics,True,235000,243000,Georgia Southern
2019,6,195,28,669713,Hayden Wesneski,New York Yankees,True,217500,241000,Sam Houston State
2019,6,196,29,663452,Matthew Barefoot,Houston Astros,True,150000,239000,Campbell University
2019,6,197,30,669684,Chris Murphy,Boston Red Sox,True,200000,237000,University of San Diego
2019,7,198,1,667521,Johnny Rizer,Baltimore Orioles,True,15000,235100,TCU
2019,7,199,2,668716,Noah Murdock,Kansas City Royals,True,230500,233000,Virginia
2019,7,200,3,664711,Karan Patel,Chicago White Sox,True,10000,231100,University of Texas - San Antonio
2019,7,201,4,663773,Bryan Hoeing,Miami Marlins,True,229700,229700,Louisville
2019,7,202,5,666132,Zack Hess,Detroit Tigers,True,227700,227700,LSU
2019,7,203,6,656648,Connor Lehmann,San Diego Padres,True,35000,225800,St. Louis University
2019,7,204,7,687066,Eric Yang,Cincinnati Reds,True,197500,224000,UC Santa Barbara
2019,7,205,8,687075,Brandon Sproat,Texas Rangers,True,0,222100,Pace HS
2019,7,206,9,669702,Armani Smith,San Francisco Giants,True,297500,220200,UC Santa Barbara
2019,7,207,10,663544,LJ Talley,Toronto Blue Jays,True,22500,218500,Georgia
2019,7,208,11,682239,Luke Ritter,New York Mets,True,10000,216600,Wichita State
2019,7,209,12,668791,Anthony Prato,Minnesota Twins,True,274800,214900,Connecticut
2019,7,210,13,679630,Brett Schulze,Philadelphia Phillies,True,175000,213300,Minnesota
2019,7,211,14,669721,Davis Daniel,Los Angeles Angels,True,172500,211500,Auburn
2019,7,212,15,669631,Spencer Brickhouse,Arizona Diamondbacks,True,190000,209800,East Carolina
2019,7,213,16,668720,Todd Peterson,Washington Nationals,True,220000,208200,LSU
2019,7,214,17,666165,Blake Sabol,Pittsburgh Pirates,True,247500,206500,USC
2019,7,215,18,667652,Jack Ralston,St. Louis Cardinals,True,204800,204800,UCLA
2019,7,216,19,671936,Adam Macko,Seattle Mariners,True,250000,203400,Vauxhall HS
2019,7,217,20,670241,Darius Vines,Atlanta Braves,True,127500,201600,CSU Bakersfield
2019,7,218,21,684580,Jake Guenther,Tampa Bay Rays,True,197600,200100,TCU
2019,7,219,22,668951,Jared Horn,Colorado Rockies,True,198500,198500,California
2019,7,220,23,675540,Xzavion Curry,Cleveland Guardians,True,125000,197300,Georgia Tech
2019,7,221,24,687798,Nick Robertson,Los Angeles Dodgers,True,177500,195700,James Madison University
2019,7,222,25,656368,Brad Deppermann,Chicago Cubs,True,50000,194400,University of North Florida
2019,7,223,26,686746,Gabe Holt,Milwaukee Brewers,True,450000,192900,Texas Tech
2019,7,224,27,686452,Drew Millas,Athletics,True,170000,191500,Missouri State
2019,7,225,28,687392,Nick Paciorek,New York Yankees,True,162500,190100,Northwestern
2019,7,226,29,668874,Blair Henley,Houston Astros,True,150000,188900,Texas
2019,7,227,30,687770,Brock Bell,Boston Red Sox,True,465000,187700,State College of Florida Manatee - Sarasota
2019,8,228,1,687142,Griffin McLarty,Baltimore Orioles,True,170000,186300,College of Charleston
2019,8,229,2,669283,Drew Parrish,Kansas City Royals,True,167500,184700,Florida State
2019,8,230,3,675625,Ivan Gonzalez,Chicago White Sox,True,10000,183700,West Virginia
2019,8,231,4,687524,Tevin Mitchell,Miami Marlins,True,10000,182300,UC Santa Barbara
2019,8,232,5,687958,Jack Kenley,Detroit Tigers,True,135000,181200,Arkansas
2019,8,233,6,687782,Andrew Mitchel,San Diego Padres,True,1000,179800,San Jose State
2019,8,234,7,670199,Quin Cotton,Cincinnati Reds,True,147500,178600,Grand Canyon University
2019,8,235,8,687397,John Matthews,Texas Rangers,True,177400,177400,Kent State
2019,8,236,9,668873,Caleb Kilian,San Francisco Giants,True,397500,176300,Texas Tech
2019,8,237,10,688023,Angel Camacho,Toronto Blue Jays,True,2500,175000,Jacksonville University
2019,8,238,11,686970,Connor Wollersheim,New York Mets,True,1000,174000,Kent State
2019,8,239,12,668984,Casey Legumina,Minnesota Twins,True,250000,173000,Gonzaga
2019,8,240,13,686492,Nate Fassnacht,Philadelphia Phillies,True,100000,172100,George Washington University
2019,8,241,14,686599,Kyle Brnovich,Los Angeles Angels,True,168700,171200,Elon University
2019,8,242,15,686527,Dominic Canzone,Arizona Diamondbacks,True,170300,170300,Ohio State
2019,8,243,16,669918,Jeremy Ydens,Washington Nationals,True,169500,169500,UCLA
2019,8,244,17,686762,Austin Roberts,Pittsburgh Pirates,True,166000,168500,Sacramento State
2019,8,245,18,685401,Logan Gragg,St. Louis Cardinals,True,167800,167800,Oklahoma State
2019,8,246,19,686654,Ty Adcock,Seattle Mariners,True,150000,167000,Elon University
2019,8,247,20,683740,Ricky DeVito,Atlanta Braves,True,167500,166100,Seton Hall
2019,8,248,21,686249,Nathan Wiles,Tampa Bay Rays,True,162900,165400,Oklahoma
2019,8,249,22,686783,Jacob Kostyshock,Colorado Rockies,True,164700,164700,Arkansas
2019,8,250,23,686823,Will Brennan,Cleveland Guardians,True,163900,163900,Kansas State
2019,8,251,24,669899,Ryan Ward,Los Angeles Dodgers,True,160900,163400,Bryant University
2019,8,252,25,687792,DJ Herz,Chicago Cubs,True,500000,162700,Terry Sanford HS
2019,8,253,26,666152,David Hamilton,Milwaukee Brewers,True,400000,162000,Texas
2019,8,254,27,686946,Jose Dicochea,Athletics,True,400000,161400,Sahuarita HS
2019,8,255,28,681891,Zach Greene,New York Yankees,True,17500,160800,University of South Alabama
2019,8,256,29,687463,Luis Guerrero,Houston Astros,True,150000,160300,Miami Dade CC Kendall
2019,8,257,30,670200,Wil Dalton,Boston Red Sox,True,135000,159700,Florida
2019,9,258,1,687362,Connor Gillispie,Baltimore Orioles,True,125000,159200,VCU
2019,9,259,2,687867,Clay Dungan,Kansas City Royals,True,2500,158600,Indiana State
2019,9,260,3,663673,Tyson Messer,Chicago White Sox,True,10000,158100,Campbell University
2019,9,261,4,687490,Evan Brabrand,Miami Marlins,True,1000,157600,Liberty University
2019,9,262,5,666123,Austin Bergner,Detroit Tigers,True,157200,157200,North Carolina
2019,9,263,6,687836,Jason Blanchard,San Diego Padres,True,5000,156600,Lamar University
2019,9,264,7,686759,TJ Hopkins,Cincinnati Reds,True,17500,156100,South Carolina
2019,9,265,8,687849,Zak Kent,Texas Rangers,True,140000,155800,Virginia Military Institute
2019,9,266,9,687626,Simon Whiteman,San Francisco Giants,True,22500,155300,Yale
2019,9,267,10,671287,Phil Clarke,Toronto Blue Jays,True,500000,154900,Vanderbilt
2019,9,268,11,664987,Joe Genord,New York Mets,True,10000,154600,South Florida
2019,9,269,12,687396,Brent Headrick,Minnesota Twins,True,130000,154100,Illinois State
2019,9,270,13,687959,Rudy Rott,Philadelphia Phillies,True,10000,153600,Ohio University
2019,9,271,14,666199,Zach Linginfelter,Los Angeles Angels,True,150800,153300,Tennessee
2019,9,272,15,687525,Bobby Ay,Arizona Diamondbacks,True,100000,152900,Cal Poly - San Luis Obispo
2019,9,273,16,684937,Hunter McMahon,Washington Nationals,True,152600,152600,Texas State
2019,9,274,17,663871,Ethan Paul,Pittsburgh Pirates,True,57500,152300,Vanderbilt
2019,9,275,18,668698,Todd Lott,St. Louis Cardinals,True,152000,152000,University of Louisiana - Lafayette
2019,9,276,19,663682,Mike Salvatore,Seattle Mariners,True,15000,151600,Florida State
2019,9,277,20,687862,Cody Milligan,Atlanta Braves,True,197500,151300,Cowley County CC
2019,9,278,21,679928,Evan McKendry,Tampa Bay Rays,True,148300,150800,Miami
2019,9,279,22,686555,Isaac Collins,Colorado Rockies,True,150500,150500,Creighton
2019,9,280,23,686673,Will Bartlett,Cleveland Guardians,True,275000,150300,IMG Academy
2019,9,281,24,687941,Alec Gamboa,Los Angeles Dodgers,True,17500,150100,Fresno CC
2019,9,282,25,690370,Tyler Schlaffer,Chicago Cubs,True,250000,149800,Homewood Flossmoor HS
2019,9,283,26,687152,Darrien Miller,Milwaukee Brewers,True,297500,149500,Clovis HS
2019,9,284,27,668761,Colin Peluse,Athletics,True,149300,149300,Wake Forest
2019,9,285,28,687136,Spencer Henson,New York Yankees,True,137500,148900,Oral Roberts
2019,9,286,29,685410,Peyton Battenfield,Houston Astros,True,148400,148400,Oklahoma State
2019,9,287,30,667414,Cody Scroggins,Boston Red Sox,True,100000,148200,Arkansas
2019,10,288,1,679779,Jordan Cannon,Baltimore Orioles,True,5000,147900,Sam Houston State
2019,10,289,2,685107,Anthony Veneziano,Kansas City Royals,True,122500,147700,Coastal Carolina
2019,10,290,3,687502,Nate Pawelczyk,Chicago White Sox,True,10000,147400,Winthrop
2019,10,291,4,680785,J.D. Orr,Miami Marlins,True,2500,147200,Wright State University
2019,10,292,5,687724,Jake Holton,Detroit Tigers,True,147000,147000,Creighton
2019,10,293,6,687898,Ethan Elliott,San Diego Padres,True,5000,146800,Lincoln Memorial University
2019,10,294,7,679648,Jake Stevenson,Cincinnati Reds,True,7500,146300,Minnesota
2019,10,295,8,663782,Joe Corbett,Texas Rangers,True,10000,146100,West Texas A&M
2019,10,296,9,674028,Jeff Houghtby,San Francisco Giants,True,22500,145700,University of San Diego
2019,10,297,10,687426,Glenn Santiago,Toronto Blue Jays,True,172500,145500,International Baseball Academy
2019,10,298,11,679295,Scott Ota,New York Mets,True,1000,145300,University of Illinois at Chicago
2019,10,299,12,682199,Ben Gross,Minnesota Twins,True,10000,145000,Duke
2019,10,300,13,657029,McCarthy Tatum,Philadelphia Phillies,True,5000,144800,Fresno State
2019,10,301,14,687877,Chad Sykes,Los Angeles Angels,True,7500,144600,UNC Greensboro
2019,10,302,15,687480,Oscar Santos,Arizona Diamondbacks,True,125000,144400,PJ Education School
2019,10,303,16,687920,Andrew Pratt,Washington Nationals,True,10000,144100,Lubbock Christian
2019,10,304,17,669668,Cameron Junker,Pittsburgh Pirates,True,125000,143900,Notre Dame
2019,10,305,18,667563,Jake Sommers,St. Louis Cardinals,True,10000,143600,University of Wisconsin - Milwaukee
2019,10,306,19,663540,Kyle Hill,Seattle Mariners,True,10000,143500,Baylor
2019,10,307,20,688556,Brandon Parker,Atlanta Braves,True,140700,143200,Mississippi Gulf Coast JC
